Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
k12,COL1A2,ITGA11,k15,30,0.02142857142857143,0.3367101995913122,471.3942794278371,0.152683693481463,0.2243051999015361,42,0.03763440860215054,1.313962271862722,1466.381895398798,0.182241728492892,0.1922766831543906,0.4424244988143512,0.02782534021274072,691244.0369475423,0.04312865985134991
k14,COL1A2,ITGA11,k12,37,0.04913678618857902,1.253835050326602,944.1377928959312,0.568560639780872,0.4492524105875075,162,0.1157142857142857,2.658917670391323,3722.484738547852,0.3687820895233694,0.4881041022578672,3.333844171069395,0.2096749807591337,3514538.525141357,0.2192819445569981
k14,COL1A2,ITGA11,k14,37,0.04913678618857902,1.253835050326602,944.1377928959312,0.568560639780872,0.4492524105875075,93,0.1235059760956175,3.237116817154274,2437.548963317168,0.4489761819837384,0.3196192145877422,4.058810527349718,0.2552701852750475,2301382.098302037,0.143589702623629
k14,COL1A2,ITGA11,k15,37,0.04913678618857902,1.253835050326602,944.1377928959312,0.568560639780872,0.4492524105875075,42,0.03763440860215054,1.313962271862722,1466.381895398798,0.182241728492892,0.1922766831543906,1.647491951268252,0.1036154737466906,1384466.566264373,0.08638076340688039
k15,COL1A2,ITGA11,k12,19,0.01702508960573477,0.6147341215310841,686.0432796286898,0.2787556667376649,0.3264423895109566,162,0.1157142857142857,2.658917670391323,3722.484738547852,0.3687820895233694,0.4881041022578672,1.634527418331486,0.1028000972459961,2553785.638401114,0.1593378694711585
k15,COL1A2,ITGA11,k14,19,0.01702508960573477,0.6147341215310841,686.0432796286898,0.2787556667376649,0.3264423895109566,93,0.1235059760956175,3.237116817154274,2437.548963317168,0.4489761819837384,0.3196192145877422,1.989966162886831,0.1251546549582082,1672264.085049623,0.1043372601436377
k15,COL1A2,ITGA11,k15,19,0.01702508960573477,0.6147341215310841,686.0432796286898,0.2787556667376649,0.3264423895109566,42,0.03763440860215054,1.313962271862722,1466.381895398798,0.182241728492892,0.1922766831543906,0.807737442918518,0.05080091453346061,1006001.444707526,0.06276725989616037
k12,COL1A2,ITGB1,k12,30,0.02142857142857143,0.3367101995913122,471.3942794278371,0.152683693481463,0.2243051999015361,909,0.6492857142857142,92.02863354564761,128840.0869639067,0.2509194170151416,0.3305036005197967,30.98697956927074,0.03831130335608727,60734479.95577064,0.07413367618277042
k12,COL1A2,ITGB1,k14,30,0.02142857142857143,0.3367101995913122,471.3942794278371,0.152683693481463,0.2243051999015361,413,0.548472775564409,125.6667827525421,94627.08741266423,0.3426350544561313,0.2427396149255033,42.31328750260653,0.05231478563058433,44606667.68524781,0.05444775784988692
k12,COL1A2,ITGB1,k15,30,0.02142857142857143,0.3367101995913122,471.3942794278371,0.152683693481463,0.2243051999015361,830,0.7437275985663082,149.0702754142783,166362.4273623345,0.4064455285287272,0.4267567845547,50.19348218787351,0.0620576044947914,78422296.57033357,0.09572376586887874
