,Mono_TC-YH,Mono_TC-AH,Mono_TC-ACR,Mono_TC-YCR,Mono_BC-YH,Mono_BC-AH,Mono_BC-YCR,Mono_BC-ACR,TC_Mono-YH,TC_Mono-AH,TC_Mono-YCR,TC_Mono-ACR,BC_Mono-YH,BC_Mono-AH,BC_Mono-YCR,BC_Mono-ACR,TC_BC-YH,TC_BC-AH,TC_BC-YCR,TC_BC-ACR,BC_TC-YH,BC_TC-AH,BC_TC-YCR,BC_TC-ACR
TNF-TNFRSF1B,0.00499636,2.095005449,-1.630493722,-1.696194281,-1.523177966,1.190648482,-0.480015755,-1.604834378,-0.00499636,-2.095005449,1.630493722,1.696194281,1.523177966,-1.190648482,0.480015755,1.604834378,-1.483388084,-0.896516196,1.142799148,0.089849678,1.483388084,0.896516196,-1.142799148,-0.089849678
TNFRSF14-BTLA,4.156775426,3.707652507,4.345924966,4.269174875,6.223926459,6.880967525,6.918580038,7.363510166,-4.156775426,-3.707652507,-4.345924966,-4.269174875,-6.223926459,-6.880967525,-6.918580038,-7.363510166,2.063933612,3.170756683,2.582619237,3.120015733,-2.063933612,-3.170756683,-2.582619237,-3.120015733
CADM1-CRTAM,0.117900225,-2.746815033,-0.714986043,-2.005588546,-1.63179269,0.092388245,-3.372998362,-4.530782378,-0.117900225,2.746815033,0.714986043,2.005588546,1.63179269,-0.092388245,3.372998362,4.530782378,-2.25494078,1.51824243,-4.806514537,-4.652913709,2.25494078,-1.51824243,4.806514537,4.652913709
CCL15-CCR1,0,0,0,-2.011770025,0,0,0,0,0,0,0,2.011770025,0,0,0,0,0,0,0,0.488273109,0,0,0,-0.488273109
CCL19-CCR7,5.071315838,0,1.395314589,0,3.907640919,0,0.529995127,0,-5.071315838,0,-1.395314589,0,-3.907640919,0,-0.529995127,0,0,0,0,0,0,0,0,0
CCL2-CCR2,1.325807651,2.337594699,0.9213841,-0.099881865,0.663035251,-0.168797792,2.70799307,1.892914189,-1.325807651,-2.337594699,-0.9213841,0.099881865,-0.663035251,0.168797792,-2.70799307,-1.892914189,0.01881796,-0.576787761,0,0.319394959,-0.01881796,0.576787761,0,-0.319394959
CCL20-CCR6,-0.321471656,0.89899174,2.045125956,3.340655356,0,1.783444755,4.686294615,5.250641457,0.321471656,-0.89899174,-2.045125956,-3.340655356,0,-1.783444755,-4.686294615,-5.250641457,2.675863136,2.232324387,2.853576833,2.840611868,-2.675863136,-2.232324387,-2.853576833,-2.840611868
CCL23-CCR1,-0.335989233,-1.365304697,-0.878206937,0.112828407,0.082313008,0.253413868,0.164210894,0.455148967,0.335989233,1.365304697,0.878206937,-0.112828407,-0.082313008,-0.253413868,-0.164210894,-0.455148967,0.012954744,0.123762929,0.054560924,0,-0.012954744,-0.123762929,-0.054560924,0
CCL3-CCR1,-2.708990983,0.16075462,-0.306688934,-1.708389409,-2.392265948,-0.08574667,-0.694935758,0.340022067,2.708990983,-0.16075462,0.306688934,1.708389409,2.392265948,0.08574667,0.694935758,-0.340022067,0.106693706,-0.196696902,-0.245330355,1.925490526,-0.106693706,0.196696902,0.245330355,-1.925490526
CCL3-CCR5,1.610234402,5.229514154,5.312955689,4.621533406,0.739564088,2.415362093,2.834821438,1.157373509,-1.610234402,-5.229514154,-5.312955689,-4.621533406,-0.739564088,-2.415362093,-2.834821438,-1.157373509,-0.449098345,-2.222759283,-1.9886477,-3.137228899,0.449098345,2.222759283,1.9886477,3.137228899
CCL4-CCR5,-1.285362999,1.008912436,1.8862061,1.388584843,-1.629907147,0.321841283,1.605459229,0.727561151,1.285362999,-1.008912436,-1.8862061,-1.388584843,1.629907147,-0.321841283,-1.605459229,-0.727561151,-0.488016264,-0.658340906,-0.090567333,-0.536231784,0.488016264,0.658340906,0.090567333,0.536231784
CCL5-CCR1,-6.660868726,-6.785004281,-7.564377442,-8.532279221,-5.777828535,-4.880104681,-4.173864677,-3.101313614,6.660868726,6.785004281,7.564377442,8.532279221,5.777828535,4.880104681,4.173864677,3.101313614,0.846033188,1.870158017,3.190349875,5.423048341,-0.846033188,-1.870158017,-3.190349875,-5.423048341
